title;platform;score_phrase;score;genre;editors_choice;release_year
XIII;Xbox;Great;8;Shooter;N;2003
XIII;GameCube;Great;8;Shooter;N;2003
Harvest Moon: Friends of Mineral Town;Game Boy Advance;Great;8.9;RPG/Simulation;Y;2003
Kelly Slater's Pro Surfer;PC;Great;8.9;Sports;N;2003
Cartoon Network Speedway;Game Boy Advance;Awful;3;Racing;N;2003
Spawn: Armageddon;Xbox;Good;7.7;Action/Adventure;N;2003
Justice League Chronicles;Game Boy Advance;Bad;4;Action;N;2003
Spawn: Armageddon;PlayStation 2;Good;7.7;Action/Adventure;N;2003
Star Wars Knights of the Old Republic;PC;Amazing;9;RPG;Y;2003
Battlestar Galactica [2003];PlayStation 2;Good;7.4;Action;N;2003
Spawn: Armageddon;GameCube;Good;7.4;Action/Adventure;N;2003
Tokyo Xtreme Racer 3;PlayStation 2;Good;7.2;Racing;N;2003
Rugby 2004;PC;Good;7;Sports;N;2003
NCAA March Madness 2004;Xbox;Great;8.4;Sports;N;2003
Kya: Dark Lineage;PlayStation 2;Good;7.5;Action/Adventure;N;2003
NCAA March Madness 2004;PlayStation 2;Great;8.5;Sports;Y;2003
Medal of Honor: Infiltrator;Game Boy Advance;Great;8.8;Action;Y;2003
Battlestar Galactica [2003];Xbox;Good;7.4;Action;N;2003
Whiplash;Xbox;Good;7;Platformer;N;2003
American Idol;PlayStation 2;Bad;4;Music;N;2003
Whiplash;PlayStation 2;Good;7;Platformer;N;2003
Dungeon Siege: Legends of Aranna;PC;Good;7;Action/RPG;N;2003
Contract J.A.C.K.;PC;Okay;6.1;Shooter;N;2003
Star Wars Jedi Knight: Jedi Academy;Xbox;Great;8;Action;N;2003
NHL Rivals 2004;Xbox;Okay;6.5;Sports;N;2003
Onimusha Tactics;Game Boy Advance;Okay;6.5;Strategy;N;2003
Fatal Frame II: Crimson Butterfly;PlayStation 2;Great;8.5;Adventure;Y;2003
Secret Weapons Over Normandy;Xbox;Great;8;Flight;N;2003
Fairly OddParents: Breakin' Da Rules;GameCube;Mediocre;5;Action;N;2003
Counter-Strike;Xbox;Good;7.9;Shooter;N;2003
Gladiator: Sword of Vengeance;PC;Great;8;Action;N;2003
Monster Rancher 4;PlayStation 2;Great;8.5;Battle;Y;2003
Fairly OddParents: Breakin' Da Rules;Xbox;Mediocre;5;Action;N;2003
I-Ninja;Xbox;Great;8;Action;N;2003
Gotcha Force;GameCube;Okay;6.5;Action;N;2003
Cima: The Enemy;Game Boy Advance;Okay;6;Action/RPG;N;2003
Culdcept;PlayStation 2;Great;8.7;Board;Y;2003
Mobile Suit Gundam: Encounters in Space;PlayStation 2;Good;7.9;Shooter;N;2003
Lords of EverQuest;PC;Okay;6.5;Strategy;N;2003
Terminator 3: Rise of the Machines;PlayStation 2;Awful;3.5;Shooter;N;2003
James Bond 007: Everything or Nothing;Game Boy Advance;Great;8;Action;N;2003
Max Payne 2: The Fall of Max Payne;PlayStation 2;Good;7.9;Action;N;2003
Uru: Ages Beyond Myst;PC;Amazing;9;Adventure;Y;2003
Pokemon Channel;GameCube;Mediocre;5;Virtual Pet;N;2003
Tron 2.0: Light Cycles;Wireless;Good;7;Action;N;2003
Magic: The Gathering Battlegrounds;PC;Good;7.9;Adventure;N;2003
Freestyle Metal X;GameCube;Good;7.6;Sports;N;2003
Neverwinter Nights: Hordes of the Underdark;PC;Great;8.6;RPG;Y;2003
Gem Smashers;Game Boy Advance;Great;8;Puzzle;N;2003
EverQuest Online Adventures: Frontiers;PlayStation 2;Good;7.6;RPG;N;2003
Looney Tunes: Back in Action;Game Boy Advance;Bad;4.5;Platformer;N;2003
Armed & Dangerous;PC;Great;8.3;Action;N;2003
Magic: The Gathering Battlegrounds;Xbox;Good;7.9;Adventure;N;2003
Dragon Ball Z Budokai 2;PlayStation 2;Good;7.4;Fighting;N;2003
NBA Live 2004;PC;Great;8.5;Sports;N;2003
The Hobbit;Game Boy Advance;Okay;6.5;Action/Adventure;N;2003
Armed & Dangerous;Xbox;Great;8.2;Shooter;N;2003
Sword of Mana;Game Boy Advance;Good;7;Action/RPG;N;2003
Space Channel 5: Special Edition;PlayStation 2;Good;7.4;Music/Action;N;2003
MotoGP [2003];N-Gage;Awful;3;Racing;N;2003
Legacy of Kain: Defiance;PC;Great;8;Action/Adventure;N;2003
Max Payne;Game Boy Advance;Amazing;9;Action;Y;2003
Unreal II: The Awakening (Special Edition);PC;Great;8;Shooter;N;2003
X2: The Threat;PC;Good;7.3;Simulation;N;2003
XIII;Wireless;Amazing;9;Action;Y;2003
SimCity 2000;Game Boy Advance;Okay;6.5;Simulation;N;2003
The Haunted Mansion;GameCube;Good;7;Action/Adventure;N;2003
The Haunted Mansion;Xbox;Good;7;Action/Adventure;N;2003
The Haunted Mansion;PlayStation 2;Good;7;Action/Adventure;N;2003
Goblin Commander: Unleash The Horde;GameCube;Great;8;Strategy;N;2003
XGRA: Extreme-G Racing Association;GameCube;Good;7.5;Racing;N;2003
Aliens: Unleashed;Wireless;Good;7;Shooter;N;2003
RollerCoaster Tycoon 2: Time Twister;PC;Okay;6;Simulation;N;2003
Monster 4x4: Masters of Metal;GameCube;Awful;3.8;Racing/Action;N;2003
Spider-Man [2003];Wireless;Good;7.5;Platformer;N;2003
NFL Blitz: Pro;Xbox;Great;8;Sports/Action;N;2003
Dragon Ball Z: Taiketsu;Game Boy Advance;Bad;4;Fighting;N;2003
The Sims: Bustin' Out;GameCube;Great;8.2;Simulation;N;2003
The Sims: Bustin' Out;Xbox;Great;8;Simulation;N;2003
The Sims: Bustin' Out;PlayStation 2;Great;8;Simulation;N;2003
The King of Fighters 2000/2001;PlayStation 2;Good;7.8;Fighting/Compilation;N;2003
Silent Hill 3;PC;Amazing;9;Adventure;Y;2003
Activision Anthology;Game Boy Advance;Great;8.5;Compilation;Y;2003
Mission: Impossible Operation Surma;PlayStation 2;Good;7.3;Action/Adventure;N;2003
Mission: Impossible Operation Surma;Xbox;Good;7.3;Action/Adventure;N;2003
Intellivision Lives!;PlayStation 2;Okay;6;Action/Compilation;N;2003
R: Racing Evolution;Xbox;Okay;6.8;Racing;N;2003
R: Racing Evolution;GameCube;Okay;6.8;Racing;N;2003
MLB Slam!;N-Gage;Awful;3.3;Sports;N;2003
Curse: The Eye of Isis;PC;Good;7.8;Adventure;N;2003
R: Racing Evolution;PlayStation 2;Okay;6.8;Racing;N;2003
Mucha Lucha: Mascaritas of the Lost Code;Game Boy Advance;Painful;2;Action;N;2003
Harry Potter and the Sorcerer's Stone;Xbox;Okay;6.4;Action/Adventure;N;2003
Dance Dance Revolution Ultramix;Xbox;Great;8.7;Music;Y;2003
Prince of Persia: The Sands of Time;PC;Great;8.8;Action/Adventure;Y;2003
Barbie Horse Adventures: Wild Horse Rescue;Xbox;Bad;4;Adventure;N;2003
Harry Potter and the Sorcerer's Stone;GameCube;Okay;6.4;Action/Adventure;N;2003
Pac-Man Vs.;GameCube;Great;8;Puzzle/Action;N;2003
Harry Potter and the Sorcerer's Stone;PlayStation 2;Okay;6.4;Action/Adventure;N;2003
The Lord of the Rings: The Return of the King;Wireless;Amazing;9.5;Action;Y;2003
Victoria: An Empire Under the Sun;PC;Good;7.2;Strategy;N;2003
Star Wars: Flight of the Falcon;Game Boy Advance;Bad;4;Shooter;N;2003
Yu-Gi-Oh!: The Sacred Cards;Game Boy Advance;Mediocre;5;RPG;N;2003
Terminator 3: Rise of the Machines;Xbox;Awful;3.5;Shooter;N;2003
Alpha Wing;Wireless;Great;8.5;Shooter;Y;2003
NBA Inside Drive 2004;Xbox;Great;8.4;Sports;N;2003
Barbie Horse Adventures: Wild Horse Rescue;PlayStation 2;Bad;4;Adventure;N;2003
Disciples II: Rise of the Elves;PC;Good;7.9;Strategy;N;2003
Nightmare Creatures;Wireless;Okay;6.5;Action;N;2003
Mafia;PlayStation 2;Okay;6.8;Action;N;2004
Delta Ops: Army Special Forces;PC;Mediocre;5;Shooter;N;2004
Sinbad: Legend of the Seven Seas;PC;Mediocre;5.6;Action/Adventure;N;2004
Conflict: Desert Storm II: Back to Baghdad;GameCube;Good;7.9;Shooter;N;2004
Sonic Heroes;Xbox;Good;7.2;Platformer;N;2004
Sonic Heroes;PlayStation 2;Okay;6.9;Platformer;N;2004
Resident Evil -- CODE: Veronica X;GameCube;Mediocre;5;Action/Adventure;N;2004
Korea: Forgotten Conflict;PC;Mediocre;5;Strategy;N;2004
Delta Force: Black Hawk Down -- Team Sabre;PC;Good;7.4;Shooter;N;2004
The Haunted Mansion;Wireless;Good;7.5;Puzzle;N;2004
Baldur's Gate: Dark Alliance II;PlayStation 2;Great;8.4;Action/RPG;N;2004
Baldur's Gate: Dark Alliance II;Xbox;Great;8.4;Action/RPG;N;2004
Duke Nukem Mobile;Wireless;Great;8.5;Action;Y;2004
Maximo vs. Army of Zin;PlayStation 2;Great;8.8;Action/Adventure;Y;2004
Teenage Mutant Ninja Turtles [2003];PC;Mediocre;5.3;Fighting/Action;N;2004
Postal 2: Share the Pain;PC;Mediocre;5.6;Shooter;N;2004
Wildlife Park;PC;Okay;6.8;Simulation;N;2004
Ozzy & Drix;Game Boy Advance;Awful;3.5;Action;N;2004
Maelstrom;Wireless;Mediocre;5.5;Board;N;2004
CT Special Forces;Game Boy Advance;Okay;6;Action;N;2004
You Don't Know Jack 6: The Lost Gold;PC;Good;7.3;Trivia;N;2004
Sonic Battle;Game Boy Advance;Great;8;Fighting;N;2004
Fallout: Brotherhood of Steel;Xbox;Good;7.5;Action/RPG;N;2004
Star Trek: Shattered Universe;PlayStation 2;Awful;3.9;Shooter;N;2004
Deer Hunter;PlayStation 2;Mediocre;5;Hunting;N;2004
Final Fantasy XI;PC;Great;8;RPG;N;2004
.hack//QUARANTINE (Part 4);PlayStation 2;Great;8.3;Action/RPG;N;2004
BurgerTime;Wireless;Good;7.5;Action;N;2004
Corvette;Xbox;Okay;6.2;Racing;N;2004
AMF Bowling 2004;Xbox;Mediocre;5;Sports;N;2004
Traitors Gate 2: Cypher;PC;Mediocre;5;Adventure;N;2004
JetFighter V: Homeland Protector;PC;Okay;6.4;Flight/Simulation;N;2004
Lupin the 3rd: Treasure of the Sorcerer King;PlayStation 2;Okay;6.7;Adventure;N;2004
Fallout: Brotherhood of Steel;PlayStation 2;Good;7.5;Action/RPG;N;2004
Yohoho! Puzzle Pirates;PC;Great;8.5;Puzzle;Y;2004
Combat Mission 3: Afrika Korps;PC;Great;8.7;Strategy;Y;2004
NFL Street;Xbox;Amazing;9.2;Sports/Action;Y;2004
NFL Street;GameCube;Amazing;9.1;Sports/Action;Y;2004
Ancient Empires;Wireless;Great;8.5;Strategy;Y;2004
Tom Clancy's Splinter Cell: Team Stealth Action;N-Gage;Good;7;Action;N;2004
NFL Street;PlayStation 2;Amazing;9.2;Sports/Action;Y;2004
Intellivision Lives!;Xbox;Okay;6;Action/Compilation;N;2004
Drake;Xbox;Painful;2.9;Action;N;2004
Curse: The Eye of Isis;Xbox;Okay;6.8;Adventure;N;2004
Need for Speed Underground;Game Boy Advance;Good;7.9;Racing;N;2004
Crouching Tiger/Hidden Dragon;Xbox;Bad;4.8;Fighting/Action;N;2004
Dominions II: The Ascension Wars;PC;Okay;6.5;Strategy;N;2004
Coliseum;PC;Painful;2.5;Simulation;N;2004
One Must Fall: Battlegrounds;PC;Okay;6.7;Fighting;N;2004
Horizons: Empire of Istaria;PC;Great;8.2;RPG;N;2004
Blade & Sword;PC;Okay;6;Action/RPG;N;2004
Rayman 3;N-Gage;Great;8.5;Platformer;N;2004
Sonic Heroes;GameCube;Great;8;Platformer;N;2004
Dark Age of Camelot: Trials of Atlantis;PC;Okay;6.8;RPG;N;2004
Bomberman;Wireless;Amazing;9;Action;Y;2004
Dell Magazines Crossword;Wireless;Amazing;9.5;Puzzle;Y;2003
AirForce Delta Strike;PlayStation 2;Okay;6.4;Flight/Action;N;2004
Shark Hunt;Wireless;Great;8;Sports;Y;2004
Final Fantasy Crystal Chronicles;GameCube;Good;7.6;Action/RPG;N;2004
Alex the Ant;Wireless;Good;7;Puzzle;N;2004
R-Type Final;PlayStation 2;Great;8.1;Shooter;N;2004
Baldur's Gate: Dark Alliance;Game Boy Advance;Great;8;Action/RPG;N;2004
American Idol: The Search For A Superstar;PC;Awful;3.3;Music;N;2004
Ultimate Winter Games;Game Boy Advance;Okay;6;Sports/Compilation;N;2004
The Lord of the Rings Pinball;Wireless;Awful;3;Pinball;N;2003
Tecmo Bowl;Wireless;Amazing;9;Sports;Y;2003
RC Cars;PC;Good;7.5;Racing;N;2003
Lock On: Modern Air Combat;PC;Good;7.8;Flight/Simulation;N;2003
Red Faction;N-Gage;Good;7.3;Shooter;N;2003
Chameleon: Mysterious Journey II;PC;Okay;6.8;Adventure;N;2003
Auto Modellista;Xbox;Mediocre;5.7;Racing;N;2004
Tiger Woods PGA Tour 2004;Wireless;Great;8.5;Sports;Y;2004
Midway Arcade Treasures;GameCube;Good;7;Compilation;N;2004
Atari: 80 Classic Games in One!;PC;Good;7.2;Compilation;N;2004
Silent Storm;PC;Great;8.1;Action/RPG;N;2004
Romance of the Three Kingdoms IX;PlayStation 2;Great;8.7;Strategy;Y;2004
Worms 3D;PlayStation 2;Good;7;Strategy;N;2004
Alien Blast: The Encounter;PC;Bad;4.3;Shooter;N;2004
Castlevania;Wireless;Amazing;9;Action;Y;2004
FOX Sports Track & Field '04;Wireless;Amazing;9;Sports;Y;2004
The King of Fighters EX2: Howling Blood;Game Boy Advance;Great;8;Fighting;N;2004
Atlas Solitaire For Prizes!;Wireless;Good;7.5;Card;N;2004
Prize-21 For Prizes!;Wireless;Great;8.5;Card;Y;2004
Switchix For Prizes!;Wireless;Amazing;9;Puzzle;Y;2004
Tetris Tournament For Prizes!;Wireless;Great;8.5;Puzzle;Y;2004
Chess Everywhere;Wireless;Great;8.5;Strategy;Y;2004
MX Unleashed;Xbox;Great;8.8;Racing;Y;2004
WWI: The Great War;PC;Okay;6.4;Strategy;N;2004
Wars & Warriors: Joan of Arc;PC;Okay;6.9;Action;N;2004
Brave Shot;Wireless;Good;7.5;Shooter;N;2004
Pitfall: The Lost Expedition;Game Boy Advance;Good;7;Platformer;N;2004
James Bond 007: Everything or Nothing;GameCube;Great;8.5;Action;Y;2004
Snowboard Park Tycoon;Wireless;Good;7;Simulation;N;2004
James Bond 007: Everything or Nothing;PlayStation 2;Great;8.5;Action;Y;2004
Yu-Gi-Oh! World Championship Tournament 2004;Game Boy Advance;Good;7.5;Card/Battle;N;2004
Fast Lane;Wireless;Painful;2;Racing;N;2004
Pengo;Wireless;Great;8;Action;Y;2004
Freestyle Street Soccer;GameCube;Bad;4.5;Sports/Action;N;2004
Jack the Ripper [2004];PC;Good;7.8;Adventure;N;2004
Jet Li: Rise to Honor;PlayStation 2;Mediocre;5.8;Fighting/Action;N;2004
James Bond 007: Everything or Nothing;Xbox;Great;8.5;Action;Y;2004
Raiden;Wireless;Mediocre;5.5;Shooter;N;2004
Warhammer 40,000: Fire Warrior;PC;Okay;6;Shooter;N;2004
MX Unleashed;PlayStation 2;Great;8.8;Racing;Y;2004
Yu-Gi-Oh! World Championship Tournament 2004;Game Boy Advance;Good;7.5;Card/Battle;N;2004
Unreal II: The Awakening;Xbox;Good;7.8;Shooter;N;2004
World Soccer Winning Eleven 7 International;PlayStation 2;Amazing;9.1;Sports;Y;2004
SpellForce: The Order of Dawn;PC;Great;8.2;Strategy/RPG;N;2004
Wrath Unleashed;PlayStation 2;Good;7.6;Strategy;N;2004
Silent Scope Complete;Xbox;Good;7;Shooter;N;2004
Secret Service: Security Breach;PC;Bad;4.4;Shooter;N;2004
SEGA GT Online;Xbox;Good;7;Racing;N;2004
Champions of Norrath: Realms of EverQuest;PlayStation 2;Great;8.9;Action/RPG;Y;2004
Gravity Games Bike: Street. Vert. Dirt.;Xbox;Painful;2;Sports;N;2004
Wrath Unleashed;Xbox;Good;7.8;Strategy;N;2004
Dr. Seuss' The Cat in the Hat;Xbox;Okay;6;Action;N;2004
Dr. Seuss' The Cat in the Hat;PlayStation 2;Okay;6;Action;N;2004
Nightshade;PlayStation 2;Good;7;Action;N;2004
Metroid: Zero Mission;Game Boy Advance;Amazing;9;Action/Adventure;Y;2004
Xbox Music Mixer;Xbox;Bad;4;Music;N;2004
IHRA Drag Racing 2004;Xbox;Unbearable;1.9;Racing;N;2004
Shadowbane: The Rise of Chaos;PC;Okay;6.3;RPG;N;2004
NFL Blitz: Pro;GameCube;Great;8;Sports/Action;N;2004
Dracula;Wireless;Great;8;Action;Y;2004
Airport Tycoon 3;PC;Bad;4;Simulation;N;2004
Call of Duty;Wireless;Great;8;Action;Y;2004
Carve;Xbox;Mediocre;5.5;Racing;N;2004
Flicky;Wireless;Awful;3;Action;N;2004
MTX: Mototrax;Xbox;Great;8.7;Sports;Y;2004
LifeLine;PlayStation 2;Okay;6.8;Action/Adventure;N;2004
A Quiet Weekend in Capri;PC;Okay;6.2;Adventure;N;2004
MTX: Mototrax;PlayStation 2;Great;8.6;Sports;Y;2004
EverQuest: Gates of Discord;PC;Amazing;9;RPG;Y;2004
Universal Combat;PC;Mediocre;5.9;Strategy;N;2004
Ren & Stimpy Pinball;Wireless;Good;7.5;Pinball;N;2004
Mega Man Battle Chip Challenge;Game Boy Advance;Bad;4;Battle;N;2004
Ninja Tower;Wireless;Great;8;Action;Y;2004
Frogger;Wireless;Great;8.5;Action;Y;2004
Pitfall: The Lost Expedition;GameCube;Good;7.8;Action/Adventure;N;2004
Pitfall: The Lost Expedition;Xbox;Good;7.8;Action/Adventure;N;2004
Phantasy Star Online Episode III: C.A.R.D. Revolution;GameCube;Great;8.5;Card/RPG;Y;2004
Ninja Gaiden;Xbox;Amazing;9.4;Action;Y;2004
Pitfall: The Lost Expedition;PlayStation 2;Good;7.8;Action/Adventure;N;2004
Vietcong: Fist Alpha;PC;Good;7.7;Shooter;N;2004
Monster Garage: The Game;PC;Awful;3.3;Simulation;N;2004
DoDonPachi;Wireless;Great;8;Shooter;Y;2004
Sky Force;Wireless;Amazing;9.5;Shooter;Y;2004
Vega$ Tycoon;PC;Good;7.7;Simulation;N;2004
Gradius;Wireless;Great;8.5;Shooter;Y;2004
Worms 3D;GameCube;Good;7;Strategy;N;2004
Gangland;PC;Mediocre;5.8;Strategy;N;2004
Seven Samurai 20XX;PlayStation 2;Okay;6.7;Action/Adventure;N;2004
Pirate Hunter: Seize & Destroy;PC;Okay;6.8;Action/Adventure;N;2004
Grooverider: Slot Car Thunder;Xbox;Bad;4.5;Racing;N;2004
Mission: Impossible Operation Surma;Game Boy Advance;Awful;3.5;Adventure;N;2004
Scooby-Doo! Mystery Mayhem;GameCube;Mediocre;5.5;Action;N;2004
MVP Baseball 2004;PC;Great;8.5;Sports;Y;2004
Unreal Tournament 2004;PC;Amazing;9.4;Shooter;Y;2004
Corvette;PlayStation 2;Mediocre;5.5;Racing;N;2004
Tom Clancy's Rainbow Six 3: Athena Sword;PC;Good;7.8;Shooter;N;2004
Broken Sword: The Sleeping Dragon;Xbox;Great;8.4;Adventure;N;2004
Grooverider: Slot Car Thunder;GameCube;Bad;4.5;Racing;N;2004
Tenchu: Return from Darkness;Xbox;Good;7;Action;N;2004
Desert Rats vs. Afrika Korps;PC;Good;7.2;Strategy;N;2004
The Punisher [2004];Wireless;Good;7.5;Shooter;N;2004
Boulder Dash M.E.;Wireless;Great;8.5;Puzzle/Action;Y;2004
Dead Man's Hand;PC;Okay;6.2;Shooter;N;2004
Jagged Alliance 2: Wildfire;PC;Okay;6.5;Strategy;N;2004
Firefighter F.D.18;PlayStation 2;Okay;6.8;Action;N;2004
Metal Gear Solid: The Twin Snakes;GameCube;Great;8.5;Action/Adventure;Y;2004
Bionicle: The Game;PC;Awful;3.5;Action;N;2004
Drake;PC;Painful;2.9;Action;N;2004
Bloody Roar 4;PlayStation 2;Okay;6;Fighting;N;2004
Eye of Rana;Wireless;Great;8;RPG;Y;2004
Mobile Suit Gundam: Atlantic Battle;Wireless;Good;7;Action;N;2004
Alias;Xbox;Good;7.3;Action;N;2004
Alias;PlayStation 2;Good;7.3;Action;N;2004
Nemesis of the Roman Empire;PC;Great;8;Strategy;N;2004
ESPN Major League Baseball;Xbox;Great;8.4;Sports;N;2004
Dead Man's Hand;Xbox;Okay;6;Shooter;N;2004
Wario Ware Inc. Mega Party Game$;GameCube;Good;7.5;Party;N;2004
FOX Sports Hockey '04;Wireless;Good;7;Sports;N;2004
Street Jam Basketball;Game Boy Advance;Awful;3.5;Sports/Action;N;2004
MVP Baseball 2004;GameCube;Great;8.8;Sports;Y;2004
The Suffering;Xbox;Great;8.5;Action/Adventure;Y;2004
MVP Baseball 2004;Xbox;Amazing;9;Sports/Simulation;Y;2004
The Suffering;PlayStation 2;Great;8.5;Action/Adventure;Y;2004
MVP Baseball 2004;PlayStation 2;Amazing;9;Sports;Y;2004
R-Type III: The Third Lightning;Game Boy Advance;Bad;4.5;Shooter;N;2004
Fight Night 2004;Xbox;Great;8.4;Sports;N;2004
NBA Ballers;Xbox;Great;8.9;Sports;Y;2004
Yo-Yo Fighter;Wireless;Okay;6.5;Platformer;N;2004
Northland;PC;Okay;6.4;Strategy;N;2004
NBA Ballers;PlayStation 2;Amazing;9;Sports/Action;Y;2004
Fight Night 2004;PlayStation 2;Great;8.6;Sports;Y;2004
Tom Clancy's Splinter Cell Pandora Tomorrow;Game Boy Advance;Good;7;Action;N;2004
NCAA Football 2004;N-Gage;Mediocre;5.6;Sports;N;2004
Tom Clancy's Rainbow Six 3;PlayStation 2;Good;7;Shooter;N;2004
Samurai Jack: The Shadow of Aku;PlayStation 2;Mediocre;5.2;Action;N;2004
Pokemon Colosseum;GameCube;Good;7.5;RPG;N;2004
Final Fantasy XI;PlayStation 2;Great;8.8;RPG;Y;2004
Far Cry;PC;Amazing;9.2;Shooter;Y;2004
The Lion King;Wireless;Awful;3.5;Platformer;N;2004
Yu-Gi-Oh! The Dawn of Destiny;Xbox;Mediocre;5;Card/Battle;N;2004
Destruction Derby Arenas;PlayStation 2;Bad;4.5;Racing/Action;N;2004
Arx Fatalis;Xbox;Good;7.8;RPG;N;2004
QBz for Prizes!;Wireless;Great;8.5;Puzzle;Y;2004
Lode Runner;Wireless;Amazing;9;Action;Y;2004
Hold 'em Poker+ for Prizes!;Wireless;Amazing;9;Card;Y;2004
Mario vs. Donkey Kong;Game Boy Advance;Great;8.5;Action;Y;2004
Spider-Man vs. Doc Ock;Wireless;Good;7.5;Action;N;2004
JAMDAT Golf 2004;Wireless;Great;8;Sports;Y;2004
Van Helsing;Wireless;Okay;6;Action;N;2004
Jumble;Wireless;Great;8;Puzzle;Y;2004
Worms 3D;PC;Good;7.5;Strategy;N;2004
EyeToy: Groove;PlayStation 2;Good;7.5;Party;N;2004
Manhunt;PC;Great;8.3;Action;N;2004
Manhunt;Xbox;Great;8.3;Action;N;2004
Planet Zero;Wireless;Amazing;9;Shooter;Y;2004
Prince of Persia: The Sands of Time;Wireless;Amazing;9.5;Platformer;Y;2004
Star Soldier (Famicom Mini Series);Game Boy Advance;Bad;4;Action;N;2004
Pinball Dragon;Wireless;Good;7.5;Pinball;N;2004
Mappy (Famicom Mini Series);Game Boy Advance;Good;7;Action;N;2004
IL-2 Sturmovik: Forgotten Battles -- Ace Expansion Pack;PC;Great;8.4;Flight/Simulation;N;2004
Onimusha Blade Warriors;PlayStation 2;Good;7;Fighting/Action;N;2004
MLB 2005;PlayStation 2;Good;7.9;Sports;N;2004
Aces of WWI;Wireless;Great;8;Strategy;Y;2004
Syberia II;PC;Great;8.6;Adventure;N;2004
Mafia;Xbox;Okay;6.8;Action;N;2004
CSI: Crime Scene Investigation: Dark Motives;PC;Great;8.4;Adventure;N;2004
Lords of the Realm III;PC;Okay;6.4;Strategy;N;2004
Scooby-Doo! Mystery Mayhem;Xbox;Mediocre;5.5;Action;N;2004
Bionicle: The Game;Xbox;Awful;3.8;Action;N;2004
Need for Speed: Porsche Unleashed;Game Boy Advance;Okay;6;Racing;N;2004
Journey to the Center of the Earth;PC;Okay;6.3;Adventure;N;2004
Squad Assault: West Front;PC;Good;7.2;Strategy;N;2004
Trivial Pursuit Unhinged;PlayStation 2;Good;7;Trivia;N;2004
Spider-Man 2 Pinball;Wireless;Okay;6;Pinball;N;2004
Van Helsing;Xbox;Okay;6.5;Action;N;2004
Transformers;PlayStation 2;Good;7.5;Action;N;2004
UEFA EURO 2004 Portugal;PlayStation 2;Great;8;Sports;N;2004
UEFA EURO 2004 Portugal;PC;Great;8;Sports;N;2004
Batter Up! by FOX Sports;Wireless;Good;7;Sports;N;2004
Terminator 3: Rise of the Machines;Game Boy Advance;Okay;6.5;Action;N;2004
Downtown Texas Hold 'em;Wireless;Great;8.5;Card;Y;2004
Hitman: Contracts;PC;Great;8.4;Action;N;2004
Rayman Golf;Wireless;Good;7.5;Sports;N;2004
Rail Rider;Wireless;Great;8.5;Action;Y;2004
Hitman: Contracts;Xbox;Great;8.4;Action;N;2004
Hitman: Contracts;PlayStation 2;Great;8.4;Action/Adventure;N;2004
kill.switch;PC;Good;7.8;Shooter;N;2004
Mace Griffin: Bounty Hunter;PC;Okay;6.3;Shooter;N;2004
Vectorman;Wireless;Good;7.5;Platformer;N;2004
Tom Clancy's Ghost Recon: Jungle Storm;PlayStation 2;Okay;6.5;Shooter;N;2004
Battlefield Vietnam;PC;Great;8.2;Shooter;N;2004
Breakdown;Xbox;Okay;6.7;Action;N;2004
Midnight Nowhere;PC;Good;7.8;Adventure;N;2004
Harvest Moon: A Wonderful Life;GameCube;Great;8;RPG;N;2004
The King of Fighters M;Wireless;Good;7;Fighting;N;2004
Crimson Sea 2;PlayStation 2;Great;8.4;Action;N;2004
Tom Clancy's Splinter Cell Pandora Tomorrow;PC;Amazing;9.5;Action/Adventure;Y;2004
Trivial Pursuit Unhinged;Xbox;Good;7;Trivia;N;2004
Resident Evil Outbreak;PlayStation 2;Good;7.6;Adventure;N;2004
BlowOut;GameCube;Okay;6.5;Shooter;N;2004
Disney's Hide and Sneak;GameCube;Bad;4.8;Adventure;N;2004
Tom Clancy's Splinter Cell Pandora Tomorrow;Xbox;Amazing;9.5;Action/Adventure;Y;2004
Cy Girls;PlayStation 2;Mediocre;5.8;Action;N;2004
Van Helsing;PlayStation 2;Okay;6.5;Action;N;2004
La Pucelle: Tactics;PlayStation 2;Great;8.8;Strategy/RPG;Y;2004
Future Tactics: The Uprising;GameCube;Okay;6.8;Strategy/RPG;N;2004
Future Tactics: The Uprising;Xbox;Okay;6.8;Strategy/RPG;N;2004
Beyond Divinity;PC;Great;8;RPG;N;2004
Future Tactics: The Uprising;PlayStation 2;Okay;6.8;Strategy/RPG;N;2004
Shrek 2;GameCube;Good;7;Action/Adventure;N;2004
Tom Clancy's Splinter Cell Pandora Tomorrow;Wireless;Amazing;9.5;Action;Y;2004
Breed;PC;Good;7.3;Shooter;N;2004
TOCA Race Driver 2;Xbox;Great;8.2;Racing;N;2004
World Tour Soccer 2005;PlayStation 2;Good;7.6;Sports;N;2004
3D Slam Ping Pong;Wireless;Good;7.5;Sports;N;2004
Siren;PlayStation 2;Good;7.7;Adventure;N;2004
Sacred;PC;Good;7.8;RPG;N;2004
All-Star Baseball 2005;PlayStation 2;Good;7.9;Sports;N;2004
FireStarter;PC;Good;7.5;Shooter;N;2004
Colin McRae Rally 04;Xbox;Great;8.7;Racing;Y;2004
Scooby-Doo! Mystery Mayhem;PlayStation 2;Mediocre;5.5;Action/Adventure;N;2004
Shrek 2;Game Boy Advance;Good;7.9;Action/Adventure;N;2004
Strike Force Bowling;Xbox;Bad;4;Sports;N;2004
EverQuest: Hero's Call 2;Wireless;Good;7.5;RPG;N;2004
